,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
101,-1.06E+01,-3.89E-01,6.76E+00,2.95E+02
102,-1.07E+01,-2.64E-01,6.76E+00,2.96E+02
103,-9.95E+00,-3.83E-01,6.76E+00,2.97E+02
104,-1.01E+01,-3.81E-01,6.76E+00,2.95E+02
105,-1.04E+01,-3.12E-01,6.76E+00,2.95E+02
106,-1.05E+01,-1.78E-01,6.76E+00,2.95E+02
107,-1.07E+01,-7.12E-02,6.76E+00,2.95E+02
108,-9.93E+00,-1.91E-01,6.76E+00,2.98E+02
109,-1.02E+01,-1.86E-01,6.76E+00,2.95E+02
110,-1.01E+01,-8.10E-02,6.76E+00,2.95E+02
111,-1.04E+01,-6.02E-02,6.76E+00,2.95E+02
112,-1.05E+01,6.58E-02,6.76E+00,2.95E+02
113,-1.07E+01,1.13E-01,6.76E+00,2.96E+02
114,-9.91E+00,1.28E-03,6.76E+00,2.98E+02
115,-1.01E+01,9.17E-02,6.76E+00,2.95E+02
116,-1.03E+01,1.67E-01,6.76E+00,2.95E+02
117,-1.05E+01,2.42E-01,6.76E+00,2.95E+02
118,-1.07E+01,3.25E-01,6.76E+00,2.96E+02
119,-9.93E+00,2.28E-01,6.76E+00,2.98E+02
120,-1.01E+01,3.24E-01,6.76E+00,2.95E+02
121,-1.03E+01,3.69E-01,6.76E+00,2.95E+02
122,-1.05E+01,4.62E-01,6.76E+00,2.95E+02
123,-1.07E+01,4.96E-01,6.76E+00,2.95E+02
124,-9.92E+00,4.31E-01,6.76E+00,2.98E+02
125,-1.01E+01,5.17E-01,6.76E+00,2.95E+02
126,-1.03E+01,6.03E-01,6.76E+00,2.95E+02
127,-1.05E+01,6.59E-01,6.76E+00,2.95E+02
128,-1.07E+01,6.89E-01,6.76E+00,2.96E+02
129,-9.93E+00,6.18E-01,6.76E+00,2.98E+02
130,-1.01E+01,7.11E-01,6.76E+00,2.95E+02
131,-1.04E+01,8.10E-01,6.76E+00,2.95E+02
132,-1.06E+01,8.48E-01,6.76E+00,2.95E+02
133,-1.07E+01,9.63E-01,6.76E+00,2.96E+02
134,-9.93E+00,7.97E-01,6.76E+00,2.98E+02
135,-1.02E+01,8.83E-01,6.76E+00,2.95E+02
136,-1.04E+01,9.73E-01,6.76E+00,2.95E+02
137,-1.05E+01,1.09E+00,6.76E+00,2.95E+02
138,-1.07E+01,1.18E+00,6.76E+00,2.96E+02
139,-9.95E+00,9.92E-01,6.76E+00,2.97E+02
140,-1.02E+01,1.07E+00,6.76E+00,2.95E+02
141,-1.03E+01,1.21E+00,6.76E+00,2.95E+02
142,-1.05E+01,1.29E+00,6.76E+00,2.95E+02
143,-1.07E+01,1.36E+00,6.76E+00,2.97E+02
144,-9.97E+00,1.17E+00,6.76E+00,2.96E+02
145,-1.02E+01,1.31E+00,6.76E+00,2.95E+02
146,-1.04E+01,1.43E+00,6.76E+00,2.95E+02
147,-1.06E+01,1.51E+00,6.76E+00,2.95E+02
148,-1.07E+01,1.64E+00,6.76E+00,2.96E+02
149,-9.91E+00,1.30E+00,6.76E+00,2.99E+02
150,-1.01E+01,1.45E+00,6.76E+00,2.95E+02
151,-1.04E+01,1.59E+00,6.76E+00,2.95E+02
152,-1.02E+01,1.59E+00,6.76E+00,2.95E+02
153,-1.05E+01,1.74E+00,6.76E+00,2.95E+02
154,-1.07E+01,1.84E+00,6.76E+00,2.96E+02
155,-9.90E+00,1.55E+00,6.76E+00,2.98E+02
156,-1.03E+01,1.75E+00,6.76E+00,2.95E+02
157,-1.01E+01,1.76E+00,6.76E+00,2.95E+02
158,-1.04E+01,1.91E+00,6.76E+00,2.95E+02
159,-1.07E+01,2.02E+00,6.76E+00,2.96E+02
160,-9.91E+00,1.84E+00,6.76E+00,2.98E+02
