,X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
1308,-2.11E+00,-1.89E+00,5.21E+00,2.94E+02
1309,-2.31E+00,-1.83E+00,5.12E+00,2.94E+02
1310,-2.43E+00,-1.81E+00,5.04E+00,2.94E+02
1311,-2.57E+00,-1.83E+00,4.92E+00,2.94E+02
1312,-2.61E+00,-1.85E+00,4.88E+00,2.94E+02
1313,-2.67E+00,-1.88E+00,4.79E+00,2.94E+02
1314,-2.74E+00,-1.95E+00,4.64E+00,2.94E+02
1315,-2.75E+00,-2.01E+00,4.55E+00,2.94E+02
1316,-2.74E+00,-2.11E+00,4.37E+00,2.94E+02
1317,-2.71E+00,-2.20E+00,4.22E+00,2.94E+02
1318,-2.61E+00,-2.33E+00,4.02E+00,2.94E+02
1319,-2.51E+00,-2.43E+00,3.87E+00,2.94E+02
1320,-2.33E+00,-2.54E+00,3.65E+00,2.94E+02
1321,-2.10E+00,-2.61E+00,3.40E+00,2.94E+02
1322,-1.99E+00,-2.63E+00,3.29E+00,2.94E+02
1323,-1.77E+00,-2.69E+00,3.09E+00,2.95E+02
1324,-1.50E+00,-2.80E+00,2.93E+00,2.95E+02
1325,-1.37E+00,-2.86E+00,2.88E+00,2.95E+02
1326,-1.09E+00,-2.99E+00,2.84E+00,2.95E+02
1327,-9.86E-01,-3.04E+00,2.84E+00,2.95E+02
1328,-7.86E-01,-3.14E+00,2.88E+00,2.95E+02
1329,-6.03E-01,-3.24E+00,2.98E+00,2.95E+02
1330,-4.99E-01,-3.30E+00,3.07E+00,2.95E+02
1331,-3.55E-01,-3.41E+00,3.31E+00,2.95E+02
1332,-3.33E-01,-3.42E+00,3.39E+00,2.95E+02
1333,-3.08E-01,-3.42E+00,3.54E+00,2.95E+02
1334,-3.18E-01,-3.28E+00,3.78E+00,2.95E+02
1335,-3.24E-01,-3.24E+00,3.82E+00,2.95E+02
1336,-3.40E-01,-3.14E+00,3.89E+00,2.95E+02
1337,-3.82E-01,-2.84E+00,4.04E+00,2.94E+02
1338,-4.14E-01,-2.52E+00,4.17E+00,2.94E+02
1339,-4.23E-01,-2.38E+00,4.22E+00,2.94E+02
1340,-4.37E-01,-2.06E+00,4.30E+00,2.94E+02
1341,-4.44E-01,-1.74E+00,4.31E+00,2.94E+02
1342,-4.43E-01,-1.65E+00,4.31E+00,2.94E+02
1343,-4.39E-01,-1.48E+00,4.27E+00,2.94E+02
1344,-4.27E-01,-1.30E+00,4.17E+00,2.94E+02
1345,-3.97E-01,-1.11E+00,3.96E+00,2.94E+02
1346,-3.78E-01,-1.05E+00,3.82E+00,2.94E+02
1347,-3.26E-01,-1.02E+00,3.53E+00,2.94E+02
1348,-2.78E-01,-1.05E+00,3.31E+00,2.94E+02
1349,-1.86E-01,-1.19E+00,3.01E+00,2.94E+02
1350,-6.78E-02,-1.41E+00,2.74E+00,2.94E+02
1351,2.58E-02,-1.61E+00,2.59E+00,2.94E+02
1352,7.58E-02,-1.72E+00,2.54E+00,2.94E+02
1353,1.80E-01,-1.96E+00,2.45E+00,2.94E+02
1354,3.22E-01,-2.31E+00,2.38E+00,2.94E+02
1355,4.70E-01,-2.75E+00,2.35E+00,2.95E+02
1356,6.06E-01,-3.23E+00,2.38E+00,2.95E+02
1357,7.16E-01,-3.69E+00,2.43E+00,2.95E+02
1358,7.53E-01,-3.86E+00,2.44E+00,2.95E+02
1359,8.15E-01,-4.18E+00,2.44E+00,2.95E+02
1360,8.45E-01,-4.36E+00,2.43E+00,2.95E+02
1361,8.89E-01,-4.70E+00,2.38E+00,2.95E+02
1362,9.49E-01,-5.15E+00,2.25E+00,2.95E+02
1363,1.05E+00,-5.61E+00,2.12E+00,2.95E+02
1364,1.22E+00,-6.12E+00,2.00E+00,2.95E+02
1365,1.44E+00,-6.59E+00,1.91E+00,2.95E+02
1366,1.66E+00,-7.00E+00,1.85E+00,2.95E+02
1367,1.74E+00,-7.14E+00,1.84E+00,2.95E+02
1368,1.88E+00,-7.39E+00,1.85E+00,2.95E+02
1369,1.99E+00,-7.59E+00,1.89E+00,2.96E+02
1370,2.06E+00,-7.75E+00,1.96E+00,2.96E+02
1371,2.12E+00,-7.93E+00,2.08E+00,2.96E+02
1372,2.16E+00,-8.11E+00,2.27E+00,2.96E+02
1373,2.19E+00,-8.32E+00,2.58E+00,2.96E+02
1374,2.19E+00,-8.36E+00,2.64E+00,2.96E+02
1375,2.20E+00,-8.43E+00,2.79E+00,2.96E+02
1376,2.21E+00,-8.54E+00,3.10E+00,2.96E+02
1377,2.22E+00,-8.59E+00,3.30E+00,2.96E+02
1378,2.21E+00,-8.65E+00,3.69E+00,2.96E+02
1379,2.21E+00,-8.66E+00,3.84E+00,2.96E+02
1380,2.18E+00,-8.66E+00,4.12E+00,2.95E+02
1381,2.14E+00,-8.65E+00,4.32E+00,2.95E+02
1382,2.00E+00,-8.59E+00,4.67E+00,2.95E+02
1383,1.79E+00,-8.53E+00,4.94E+00,2.95E+02
1384,1.76E+00,-8.52E+00,4.97E+00,2.95E+02
1385,1.69E+00,-8.50E+00,5.03E+00,2.95E+02
1386,1.54E+00,-8.47E+00,5.14E+00,2.95E+02
1387,1.50E+00,-8.47E+00,5.16E+00,2.95E+02
1388,1.43E+00,-8.45E+00,5.19E+00,2.95E+02
1389,1.28E+00,-8.39E+00,5.27E+00,2.95E+02
1390,1.19E+00,-8.35E+00,5.30E+00,2.95E+02
1391,1.01E+00,-8.26E+00,5.37E+00,2.95E+02
1392,8.71E-01,-8.17E+00,5.41E+00,2.95E+02
1393,6.83E-01,-8.06E+00,5.45E+00,2.95E+02
1394,6.26E-01,-8.02E+00,5.46E+00,2.95E+02
1395,5.09E-01,-7.93E+00,5.47E+00,2.95E+02
1396,3.39E-01,-7.78E+00,5.47E+00,2.95E+02
1397,1.22E-01,-7.58E+00,5.47E+00,2.95E+02
1398,2.60E-02,-7.49E+00,5.47E+00,2.95E+02
1399,-1.69E-01,-7.30E+00,5.48E+00,2.95E+02
1400,-2.31E-01,-7.25E+00,5.48E+00,2.95E+02
1401,-3.54E-01,-7.14E+00,5.50E+00,2.95E+02
1402,-6.01E-01,-6.99E+00,5.56E+00,2.95E+02
1403,-8.98E-01,-6.87E+00,5.62E+00,2.95E+02
1404,-1.35E+00,-6.74E+00,5.69E+00,2.95E+02
1405,-1.61E+00,-6.68E+00,5.71E+00,2.95E+02
1406,-1.91E+00,-6.66E+00,5.69E+00,2.95E+02
1407,-2.00E+00,-6.67E+00,5.68E+00,2.95E+02
1408,-2.18E+00,-6.70E+00,5.64E+00,2.95E+02
1409,-2.24E+00,-6.73E+00,5.62E+00,2.95E+02
1410,-2.39E+00,-6.78E+00,5.58E+00,2.95E+02
1411,-2.53E+00,-6.84E+00,5.54E+00,2.95E+02
1412,-2.75E+00,-6.91E+00,5.49E+00,2.95E+02
1413,-2.95E+00,-6.95E+00,5.46E+00,2.95E+02
1414,-3.12E+00,-6.96E+00,5.46E+00,2.95E+02
1415,-3.19E+00,-6.96E+00,5.47E+00,2.95E+02
1416,-3.32E+00,-6.93E+00,5.49E+00,2.95E+02
1417,-3.38E+00,-6.92E+00,5.50E+00,2.95E+02
1418,-3.49E+00,-6.87E+00,5.53E+00,2.95E+02
1419,-3.57E+00,-6.82E+00,5.55E+00,2.95E+02
1420,-3.73E+00,-6.67E+00,5.61E+00,2.95E+02
1421,-3.94E+00,-6.43E+00,5.70E+00,2.95E+02
1422,-4.01E+00,-6.34E+00,5.73E+00,2.95E+02
1423,-4.14E+00,-6.15E+00,5.78E+00,2.95E+02
1424,-4.20E+00,-6.02E+00,5.81E+00,2.95E+02
1425,-4.31E+00,-5.73E+00,5.86E+00,2.95E+02
1426,-4.39E+00,-5.39E+00,5.92E+00,2.95E+02
1427,-4.44E+00,-5.06E+00,5.96E+00,2.95E+02
1428,-4.49E+00,-4.68E+00,6.00E+00,2.95E+02
1429,-4.53E+00,-4.41E+00,6.02E+00,2.95E+02
1430,-4.61E+00,-4.12E+00,6.04E+00,2.95E+02
1431,-4.72E+00,-3.86E+00,6.05E+00,2.95E+02
1432,-4.86E+00,-3.66E+00,6.05E+00,2.95E+02
1433,-5.08E+00,-3.44E+00,6.06E+00,2.95E+02
1434,-5.32E+00,-3.29E+00,6.06E+00,2.95E+02
1435,-5.55E+00,-3.18E+00,6.05E+00,2.95E+02
1436,-5.68E+00,-3.14E+00,6.06E+00,2.95E+02
1437,-5.94E+00,-3.07E+00,6.06E+00,2.95E+02
1438,-6.28E+00,-3.04E+00,6.08E+00,2.95E+02
1439,-6.45E+00,-3.07E+00,6.09E+00,2.95E+02
1440,-6.66E+00,-3.14E+00,6.09E+00,2.95E+02
1441,-7.00E+00,-3.37E+00,6.08E+00,2.95E+02
1442,-7.12E+00,-3.49E+00,6.06E+00,2.95E+02
1443,-7.32E+00,-3.78E+00,6.03E+00,2.95E+02
1444,-7.53E+00,-4.18E+00,5.99E+00,2.95E+02
1445,-7.67E+00,-4.58E+00,5.96E+00,2.95E+02
1446,-7.82E+00,-5.05E+00,5.94E+00,2.95E+02
1447,-7.95E+00,-5.49E+00,5.94E+00,2.95E+02
1448,-7.98E+00,-5.59E+00,5.94E+00,2.95E+02
1449,-8.04E+00,-5.76E+00,5.94E+00,2.95E+02
1450,-8.09E+00,-5.86E+00,5.95E+00,2.95E+02
1451,-8.21E+00,-5.99E+00,5.97E+00,2.95E+02
1452,-8.25E+00,-6.02E+00,5.98E+00,2.95E+02
1453,-8.33E+00,-6.04E+00,5.99E+00,2.95E+02
1454,-8.39E+00,-6.04E+00,6.00E+00,2.95E+02
1455,-8.46E+00,-6.01E+00,6.01E+00,2.95E+02
1456,-8.54E+00,-5.96E+00,6.02E+00,2.95E+02
1457,-8.71E+00,-5.81E+00,6.04E+00,2.95E+02
1458,-8.75E+00,-5.77E+00,6.04E+00,2.95E+02
1459,-8.83E+00,-5.68E+00,6.04E+00,2.95E+02
1460,-8.99E+00,-5.44E+00,6.05E+00,2.95E+02
1461,-9.12E+00,-5.23E+00,6.05E+00,2.95E+02
1462,-9.38E+00,-4.72E+00,6.07E+00,2.95E+02
1463,-9.66E+00,-4.12E+00,6.11E+00,2.95E+02
1464,-9.84E+00,-3.71E+00,6.14E+00,2.95E+02
1465,-1.00E+01,-3.37E+00,6.18E+00,2.95E+02
1466,-1.00E+01,-3.31E+00,6.19E+00,2.95E+02
1467,-1.01E+01,-3.21E+00,6.21E+00,2.95E+02
1468,-1.02E+01,-2.99E+00,6.27E+00,2.95E+02
1469,-1.02E+01,-2.93E+00,6.29E+00,2.95E+02
1470,-1.02E+01,-2.82E+00,6.36E+00,2.95E+02
1471,-1.03E+01,-2.68E+00,6.51E+00,2.95E+02
1472,-1.03E+01,-2.53E+00,6.76E+00,2.95E+02
1473,1.12E+00,1.04E+01,4.72E+00,2.92E+02
1474,1.10E+00,1.03E+01,4.72E+00,2.92E+02
1475,1.09E+00,1.02E+01,4.72E+00,2.92E+02
1476,1.06E+00,1.01E+01,4.72E+00,2.92E+02
1477,1.01E+00,9.84E+00,4.73E+00,2.93E+02
1478,9.52E-01,9.47E+00,4.73E+00,2.93E+02
1479,9.38E-01,9.40E+00,4.73E+00,2.93E+02
1480,9.14E-01,9.26E+00,4.73E+00,2.93E+02
1481,8.72E-01,9.02E+00,4.74E+00,2.94E+02
1482,8.18E-01,8.70E+00,4.75E+00,2.94E+02
1483,7.45E-01,8.27E+00,4.76E+00,2.94E+02
1484,6.26E-01,7.57E+00,4.80E+00,2.94E+02
1485,5.58E-01,7.18E+00,4.82E+00,2.94E+02
1486,4.18E-01,6.43E+00,4.85E+00,2.94E+02
1487,2.52E-01,5.58E+00,4.89E+00,2.94E+02
1488,8.81E-02,4.77E+00,4.95E+00,2.94E+02
1489,-4.81E-02,4.05E+00,5.02E+00,2.94E+02
1490,-1.71E-01,3.33E+00,5.12E+00,2.94E+02
1491,-2.99E-01,2.51E+00,5.23E+00,2.94E+02
1492,-3.67E-01,2.07E+00,5.28E+00,2.94E+02
1493,-4.47E-01,1.57E+00,5.30E+00,2.94E+02
1494,-4.77E-01,1.39E+00,5.30E+00,2.94E+02
1495,-5.40E-01,1.07E+00,5.28E+00,2.94E+02
1496,-5.69E-01,9.33E-01,5.26E+00,2.94E+02
1497,-6.20E-01,6.96E-01,5.22E+00,2.94E+02
1498,-6.65E-01,4.50E-01,5.15E+00,2.94E+02
1499,-6.76E-01,3.82E-01,5.13E+00,2.94E+02
1500,-6.86E-01,2.64E-01,5.08E+00,2.94E+02
1501,-6.74E-01,9.19E-02,5.00E+00,2.94E+02
1502,-6.19E-01,-3.83E-02,4.89E+00,2.94E+02
1503,-5.27E-01,-1.21E-01,4.76E+00,2.94E+02
1504,-4.10E-01,-1.63E-01,4.58E+00,2.94E+02
1505,-3.33E-01,-1.70E-01,4.45E+00,2.94E+02
1506,-1.78E-01,-1.76E-01,4.14E+00,2.94E+02
1507,-1.82E-02,-1.87E-01,3.81E+00,2.94E+02
1508,5.95E-02,-1.94E-01,3.64E+00,2.94E+02
1509,2.16E-01,-2.18E-01,3.36E+00,2.94E+02
1510,4.57E-01,-2.75E-01,3.06E+00,2.94E+02
1511,7.68E-01,-4.03E-01,2.82E+00,2.94E+02
1512,9.21E-01,-4.93E-01,2.75E+00,2.94E+02
1513,1.24E+00,-7.22E-01,2.66E+00,2.94E+02
1514,1.56E+00,-9.59E-01,2.61E+00,2.94E+02
1515,1.96E+00,-1.24E+00,2.57E+00,2.94E+02
1516,2.22E+00,-1.39E+00,2.53E+00,2.94E+02
1517,2.35E+00,-1.46E+00,2.50E+00,2.94E+02
1518,2.62E+00,-1.57E+00,2.43E+00,2.94E+02
1519,2.76E+00,-1.62E+00,2.38E+00,2.94E+02
1520,3.05E+00,-1.69E+00,2.28E+00,2.94E+02
1521,3.40E+00,-1.75E+00,2.17E+00,2.94E+02
1522,3.71E+00,-1.80E+00,2.08E+00,2.94E+02
1523,4.26E+00,-1.92E+00,1.97E+00,2.94E+02
1524,4.53E+00,-2.01E+00,1.93E+00,2.94E+02
1525,4.82E+00,-2.12E+00,1.91E+00,2.94E+02
1526,5.25E+00,-2.33E+00,1.93E+00,2.94E+02
1527,5.56E+00,-2.52E+00,2.00E+00,2.94E+02
1528,5.93E+00,-2.78E+00,2.19E+00,2.95E+02
1529,6.21E+00,-3.01E+00,2.48E+00,2.95E+02
1530,6.44E+00,-3.24E+00,3.01E+00,2.95E+02
1531,6.46E+00,-3.29E+00,3.23E+00,2.95E+02
1532,6.44E+00,-3.30E+00,3.69E+00,2.95E+02
1533,6.34E+00,-3.19E+00,4.17E+00,2.95E+02
1534,6.32E+00,-3.16E+00,4.27E+00,2.95E+02
1535,6.26E+00,-3.07E+00,4.46E+00,2.95E+02
1536,6.15E+00,-2.84E+00,4.79E+00,2.95E+02
1537,6.12E+00,-2.74E+00,4.88E+00,2.95E+02
1538,6.08E+00,-2.53E+00,5.04E+00,2.95E+02
1539,6.08E+00,-2.41E+00,5.10E+00,2.95E+02
1540,6.10E+00,-2.17E+00,5.19E+00,2.95E+02
1541,6.12E+00,-2.12E+00,5.20E+00,2.95E+02
1542,6.15E+00,-2.02E+00,5.22E+00,2.95E+02
1543,6.24E+00,-1.82E+00,5.22E+00,2.95E+02
1544,6.27E+00,-1.79E+00,5.21E+00,2.95E+02
1545,6.32E+00,-1.71E+00,5.20E+00,2.95E+02
1546,6.45E+00,-1.57E+00,5.13E+00,2.95E+02
1547,6.61E+00,-1.44E+00,5.04E+00,2.95E+02
1548,6.68E+00,-1.39E+00,5.00E+00,2.95E+02
1549,6.83E+00,-1.30E+00,4.90E+00,2.95E+02
1550,7.17E+00,-1.15E+00,4.72E+00,2.95E+02
1551,7.58E+00,-1.06E+00,4.54E+00,2.95E+02
1552,7.87E+00,-1.04E+00,4.40E+00,2.95E+02
1553,7.98E+00,-1.04E+00,4.35E+00,2.95E+02
1554,8.17E+00,-1.07E+00,4.24E+00,2.95E+02
1555,8.37E+00,-1.13E+00,4.07E+00,2.95E+02
1556,8.52E+00,-1.25E+00,3.85E+00,2.95E+02
1557,8.58E+00,-1.32E+00,3.73E+00,2.95E+02
1558,8.65E+00,-1.51E+00,3.49E+00,2.95E+02
1559,8.68E+00,-1.77E+00,3.22E+00,2.95E+02
1560,8.63E+00,-2.13E+00,2.97E+00,2.95E+02
1561,8.51E+00,-2.52E+00,2.82E+00,2.95E+02
1562,8.36E+00,-2.91E+00,2.77E+00,2.95E+02
1563,8.28E+00,-3.09E+00,2.77E+00,2.95E+02
1564,8.14E+00,-3.42E+00,2.82E+00,2.95E+02
1565,8.01E+00,-3.75E+00,2.92E+00,2.95E+02
1566,7.92E+00,-4.01E+00,3.03E+00,2.95E+02
1567,7.86E+00,-4.30E+00,3.19E+00,2.95E+02
1568,7.82E+00,-4.64E+00,3.39E+00,2.95E+02
1569,7.75E+00,-5.10E+00,3.63E+00,2.95E+02
1570,7.67E+00,-5.47E+00,3.78E+00,2.95E+02
1571,7.54E+00,-5.85E+00,3.89E+00,2.95E+02
1572,7.33E+00,-6.26E+00,3.96E+00,2.95E+02
1573,7.10E+00,-6.59E+00,3.97E+00,2.95E+02
1574,6.96E+00,-6.75E+00,3.96E+00,2.95E+02
1575,6.65E+00,-7.06E+00,3.92E+00,2.95E+02
1576,6.45E+00,-7.23E+00,3.88E+00,2.95E+02
1577,6.41E+00,-7.26E+00,3.87E+00,2.95E+02
1578,6.32E+00,-7.32E+00,3.85E+00,2.95E+02
1579,6.15E+00,-7.47E+00,3.79E+00,2.95E+02
1580,6.09E+00,-7.52E+00,3.77E+00,2.95E+02
1581,6.01E+00,-7.58E+00,3.74E+00,2.95E+02
1582,5.92E+00,-7.60E+00,3.71E+00,2.95E+02
1583,5.71E+00,-7.52E+00,3.64E+00,2.95E+02
1584,5.68E+00,-7.50E+00,3.63E+00,2.95E+02
1585,5.62E+00,-7.46E+00,3.61E+00,2.95E+02
1586,5.58E+00,-7.43E+00,3.59E+00,2.95E+02
1587,5.48E+00,-7.33E+00,3.56E+00,2.95E+02
1588,5.32E+00,-7.09E+00,3.53E+00,2.95E+02
1589,5.29E+00,-7.04E+00,3.52E+00,2.95E+02
1590,5.24E+00,-6.94E+00,3.52E+00,2.94E+02
1591,5.19E+00,-6.81E+00,3.51E+00,2.94E+02
1592,5.12E+00,-6.59E+00,3.51E+00,2.94E+02
1593,5.05E+00,-6.36E+00,3.52E+00,2.94E+02
1594,4.92E+00,-5.90E+00,3.54E+00,2.94E+02
1595,4.81E+00,-5.51E+00,3.57E+00,2.94E+02
1596,4.69E+00,-5.05E+00,3.59E+00,2.94E+02
1597,4.62E+00,-4.77E+00,3.61E+00,2.94E+02
1598,4.46E+00,-4.21E+00,3.65E+00,2.94E+02
1599,4.20E+00,-3.37E+00,3.69E+00,2.94E+02
1600,4.07E+00,-2.97E+00,3.70E+00,2.94E+02
1601,3.83E+00,-2.24E+00,3.67E+00,2.94E+02
1602,3.63E+00,-1.52E+00,3.57E+00,2.94E+02
1603,3.60E+00,-1.37E+00,3.54E+00,2.94E+02
1604,3.56E+00,-1.07E+00,3.47E+00,2.94E+02
1605,3.56E+00,-9.65E-01,3.44E+00,2.94E+02
1606,3.56E+00,-7.68E-01,3.37E+00,2.94E+02
1607,3.57E+00,-6.42E-01,3.31E+00,2.94E+02
1608,3.61E+00,-4.41E-01,3.17E+00,2.94E+02
1609,3.69E+00,-3.08E-01,2.98E+00,2.94E+02
1610,3.83E+00,-2.25E-01,2.72E+00,2.94E+02
1611,4.05E+00,-1.62E-01,2.40E+00,2.94E+02
1612,4.17E+00,-1.34E-01,2.25E+00,2.94E+02
1613,4.41E+00,-7.48E-02,1.96E+00,2.94E+02
1614,4.60E+00,-3.04E-02,1.77E+00,2.94E+02
1615,4.87E+00,2.68E-02,1.53E+00,2.94E+02
1616,5.25E+00,8.78E-02,1.23E+00,2.94E+02
1617,5.49E+00,1.21E-01,1.03E+00,2.94E+02
1618,5.61E+00,1.38E-01,9.24E-01,2.94E+02
1619,5.83E+00,1.74E-01,7.19E-01,2.94E+02
1620,5.86E+00,1.81E-01,6.83E-01,2.94E+02
1621,5.94E+00,1.95E-01,6.15E-01,2.94E+02
1622,6.08E+00,2.22E-01,5.00E-01,2.94E+02
1623,6.09E+00,2.27E-01,4.85E-01,2.94E+02
1624,6.13E+00,2.35E-01,4.59E-01,2.94E+02
1625,6.21E+00,2.54E-01,4.13E-01,2.94E+02
1626,6.23E+00,2.59E-01,4.01E-01,2.94E+02
1627,6.27E+00,2.71E-01,3.80E-01,2.94E+02
1628,6.35E+00,2.92E-01,3.49E-01,2.95E+02
1629,6.42E+00,3.14E-01,3.25E-01,2.95E+02
1630,6.49E+00,3.34E-01,3.07E-01,2.95E+02
1631,6.58E+00,3.64E-01,2.87E-01,2.95E+02
1632,6.61E+00,3.74E-01,2.80E-01,2.95E+02
1633,6.64E+00,3.82E-01,2.75E-01,2.95E+02
1634,6.67E+00,3.90E-01,2.70E-01,2.95E+02
1635,6.72E+00,4.07E-01,2.63E-01,2.95E+02
1636,6.76E+00,4.21E-01,2.57E-01,2.95E+02
1637,6.79E+00,4.29E-01,2.53E-01,2.95E+02
1638,6.82E+00,4.40E-01,2.49E-01,2.95E+02
1639,6.85E+00,4.48E-01,2.45E-01,2.95E+02
1640,6.86E+00,4.53E-01,2.43E-01,2.95E+02
1641,6.87E+00,4.57E-01,2.42E-01,2.95E+02
1642,6.88E+00,4.58E-01,2.41E-01,2.95E+02
1643,5.63E+00,9.64E+00,3.96E+00,2.92E+02
1644,5.62E+00,9.56E+00,3.96E+00,2.92E+02
1645,5.61E+00,9.49E+00,3.96E+00,2.92E+02
1646,5.60E+00,9.42E+00,3.96E+00,2.92E+02
1647,5.58E+00,9.31E+00,3.96E+00,2.92E+02
1648,5.54E+00,9.12E+00,3.96E+00,2.92E+02
1649,5.51E+00,8.95E+00,3.96E+00,2.93E+02
1650,5.45E+00,8.64E+00,3.96E+00,2.93E+02
1651,5.42E+00,8.50E+00,3.95E+00,2.93E+02
1652,5.36E+00,8.25E+00,3.95E+00,2.93E+02
1653,5.27E+00,7.85E+00,3.94E+00,2.93E+02
1654,5.18E+00,7.48E+00,3.92E+00,2.94E+02
1655,4.99E+00,6.80E+00,3.90E+00,2.94E+02
1656,4.70E+00,5.80E+00,3.88E+00,2.94E+02
1657,4.58E+00,5.39E+00,3.88E+00,2.94E+02
1658,4.49E+00,5.13E+00,3.87E+00,2.94E+02
1659,4.37E+00,4.74E+00,3.87E+00,2.94E+02
1660,4.19E+00,4.23E+00,3.87E+00,2.94E+02
1661,3.96E+00,3.54E+00,3.85E+00,2.94E+02
1662,3.75E+00,2.87E+00,3.81E+00,2.94E+02
1663,3.60E+00,2.31E+00,3.74E+00,2.94E+02
1664,3.56E+00,2.13E+00,3.72E+00,2.94E+02
1665,3.49E+00,1.78E+00,3.66E+00,2.94E+02
1666,3.47E+00,1.63E+00,3.63E+00,2.94E+02
1667,3.42E+00,1.35E+00,3.58E+00,2.94E+02
1668,3.35E+00,9.00E-01,3.45E+00,2.94E+02
1669,3.32E+00,7.49E-01,3.40E+00,2.94E+02
1670,3.27E+00,5.30E-01,3.27E+00,2.94E+02
1671,3.22E+00,3.79E-01,3.07E+00,2.94E+02
1672,3.17E+00,3.01E-01,2.82E+00,2.94E+02
1673,3.10E+00,2.63E-01,2.44E+00,2.94E+02
1674,3.08E+00,2.61E-01,2.33E+00,2.94E+02
1675,3.06E+00,2.68E-01,2.13E+00,2.94E+02
1676,3.05E+00,2.74E-01,2.05E+00,2.94E+02
1677,3.04E+00,2.90E-01,1.91E+00,2.94E+02
1678,3.03E+00,3.03E-01,1.81E+00,2.94E+02
1679,3.03E+00,3.33E-01,1.65E+00,2.94E+02
1680,3.03E+00,3.51E-01,1.59E+00,2.94E+02
1681,3.04E+00,3.75E-01,1.53E+00,2.94E+02
1682,3.05E+00,3.97E-01,1.48E+00,2.98E+02
1683,3.07E+00,4.22E-01,1.44E+00,3.02E+02
1684,3.07E+00,4.34E-01,1.42E+00,3.03E+02
1685,3.08E+00,4.51E-01,1.38E+00,3.05E+02
1686,3.09E+00,4.60E-01,1.37E+00,3.07E+02
1687,3.09E+00,4.71E-01,1.35E+00,3.08E+02
1688,3.10E+00,4.77E-01,1.34E+00,3.09E+02
1689,3.10E+00,4.81E-01,1.33E+00,3.09E+02
1690,3.10E+00,4.83E-01,1.33E+00,3.09E+02
1691,5.62E+00,9.65E+00,4.12E+00,2.92E+02
1692,5.60E+00,9.58E+00,4.12E+00,2.92E+02
1693,5.59E+00,9.52E+00,4.12E+00,2.92E+02
1694,5.59E+00,9.51E+00,4.12E+00,2.92E+02
1695,5.59E+00,9.50E+00,4.12E+00,2.92E+02
1696,5.58E+00,9.46E+00,4.12E+00,2.92E+02
1697,5.58E+00,9.44E+00,4.12E+00,2.93E+02
1698,5.57E+00,9.40E+00,4.12E+00,2.93E+02
1699,5.57E+00,9.37E+00,4.12E+00,2.93E+02
1700,5.55E+00,9.29E+00,4.12E+00,2.93E+02
1701,5.52E+00,9.10E+00,4.11E+00,2.93E+02
1702,5.47E+00,8.85E+00,4.11E+00,2.93E+02
1703,5.44E+00,8.66E+00,4.11E+00,2.93E+02
1704,5.37E+00,8.31E+00,4.10E+00,2.93E+02
1705,5.35E+00,8.25E+00,4.10E+00,2.93E+02
1706,5.33E+00,8.13E+00,4.09E+00,2.93E+02
1707,5.28E+00,7.91E+00,4.09E+00,2.93E+02
1708,5.20E+00,7.53E+00,4.07E+00,2.94E+02
1709,5.11E+00,7.20E+00,4.07E+00,2.94E+02
1710,4.94E+00,6.54E+00,4.06E+00,2.94E+02
1711,4.69E+00,5.67E+00,4.04E+00,2.94E+02
1712,4.53E+00,5.13E+00,4.04E+00,2.94E+02
1713,4.44E+00,4.82E+00,4.03E+00,2.94E+02
1714,4.30E+00,4.37E+00,4.03E+00,2.94E+02
1715,4.08E+00,3.66E+00,4.02E+00,2.94E+02
1716,3.87E+00,2.90E+00,3.99E+00,2.94E+02
1717,3.64E+00,1.96E+00,3.92E+00,2.94E+02
1718,3.49E+00,1.19E+00,3.83E+00,2.94E+02
1719,3.48E+00,1.08E+00,3.82E+00,2.94E+02
1720,3.44E+00,8.85E-01,3.79E+00,2.94E+02
1721,3.42E+00,7.73E-01,3.76E+00,2.94E+02
1722,3.39E+00,5.88E-01,3.72E+00,2.94E+02
1723,3.35E+00,4.26E-01,3.65E+00,2.94E+02
1724,3.32E+00,3.38E-01,3.58E+00,2.94E+02
1725,3.29E+00,2.82E-01,3.51E+00,2.94E+02
1726,3.25E+00,2.25E-01,3.39E+00,2.94E+02
1727,3.19E+00,1.87E-01,3.20E+00,2.94E+02
1728,3.12E+00,1.74E-01,2.99E+00,2.94E+02
1729,3.00E+00,1.85E-01,2.54E+00,2.94E+02
1730,2.95E+00,1.99E-01,2.33E+00,2.94E+02
1731,2.91E+00,2.15E-01,2.17E+00,2.94E+02
1732,2.87E+00,2.33E-01,1.99E+00,2.94E+02
1733,2.86E+00,2.38E-01,1.94E+00,2.94E+02
1734,2.84E+00,2.48E-01,1.85E+00,2.94E+02
1735,2.81E+00,2.63E-01,1.70E+00,2.94E+02
1736,2.79E+00,2.75E-01,1.60E+00,2.94E+02
1737,2.79E+00,2.84E-01,1.54E+00,2.96E+02
1738,2.78E+00,2.89E-01,1.51E+00,2.99E+02
1739,2.78E+00,3.04E-01,1.47E+00,3.03E+02
1740,2.78E+00,3.15E-01,1.45E+00,3.05E+02
1741,2.78E+00,3.25E-01,1.43E+00,3.06E+02
1742,2.78E+00,3.30E-01,1.42E+00,3.07E+02
1743,2.78E+00,3.37E-01,1.41E+00,3.08E+02
1744,2.78E+00,3.40E-01,1.40E+00,3.09E+02
